['USID', 'cluster_algo', 'cluster_number']
[8456000566, 'KMeans', 2]
[8456000567, 'KMeans', 2]
[8456000568, 'KMeans', 2]
[8456000569, 'KMeans', 2]
[8456000570, 'KMeans', 2]
[8456000571, 'KMeans', 2]
[8456000572, 'KMeans', 2]
[8456000573, 'KMeans', 2]
[8456000574, 'KMeans', 2]
[8456000575, 'KMeans', 2]
[8456000576, 'KMeans', 2]
[8456000577, 'KMeans', 2]
[8456000578, 'KMeans', 2]
[8456000579, 'KMeans', 2]
[8456000580, 'KMeans', 2]
[8456000581, 'KMeans', 2]
[8456000582, 'KMeans', 2]
[8456000583, 'KMeans', 2]
[8456000584, 'KMeans', 2]
[8456000585, 'KMeans', 2]
[8456000586, 'KMeans', 2]
[8456000587, 'KMeans', 2]
[8456000588, 'KMeans', 2]
[8456000589, 'KMeans', 2]
[8456000590, 'KMeans', 2]
[8456000591, 'KMeans', 2]
[8456000592, 'KMeans', 2]
[8456000593, 'KMeans', 2]
[8456000594, 'KMeans', 2]
[8456000595, 'KMeans', 2]
[8456000596, 'KMeans', 2]
[8456000597, 'KMeans', 2]
[8456000598, 'KMeans', 2]
[8456000599, 'KMeans', 2]
[8456000600, 'KMeans', 2]
[8456000601, 'KMeans', 2]
[8456000602, 'KMeans', 2]
[8456000603, 'KMeans', 2]
[8456000604, 'KMeans', 2]
[8456000605, 'KMeans', 2]
[8456000606, 'KMeans', 2]
[8456000607, 'KMeans', 2]
[8456000608, 'KMeans', 2]
[8456000609, 'KMeans', 2]
[8456000610, 'KMeans', 2]
[8456000611, 'KMeans', 2]
[8456000612, 'KMeans', 2]
[8456000613, 'KMeans', 2]
[8456000614, 'KMeans', 2]
[8456000615, 'KMeans', 2]
[8456000616, 'KMeans', 2]
[8456000617, 'KMeans', 2]
[8456000618, 'KMeans', 2]
[8456000619, 'KMeans', 2]
[8456000620, 'KMeans', 2]
[8456000621, 'KMeans', 2]
[8456000622, 'KMeans', 2]
[8456000623, 'KMeans', 2]
[8456000624, 'KMeans', 2]
[8456000625, 'KMeans', 2]
[8456000626, 'KMeans', 2]
[8456000627, 'KMeans', 2]
[8456000628, 'KMeans', 2]
[8456000629, 'KMeans', 2]
[8456000630, 'KMeans', 2]
[8456000631, 'KMeans', 2]
[8456000632, 'KMeans', 2]
[8456000633, 'KMeans', 2]
[8456000634, 'KMeans', 2]
[8456000635, 'KMeans', 2]
[8456000636, 'KMeans', 2]
[8456000637, 'KMeans', 2]
[8456000638, 'KMeans', 2]
[8456000639, 'KMeans', 2]
[8456000640, 'KMeans', 2]
[8456000641, 'KMeans', 2]
[8456000642, 'KMeans', 2]
[8456000643, 'KMeans', 2]
[8456000644, 'KMeans', 2]
[8456000645, 'KMeans', 2]
[8456000646, 'KMeans', 2]
[8456000647, 'KMeans', 2]
[8456000648, 'KMeans', 2]
[8456000649, 'KMeans', 2]
[8456000650, 'KMeans', 2]
[8456000651, 'KMeans', 2]
[8456000652, 'KMeans', 2]
[8456000653, 'KMeans', 2]
[8456000654, 'KMeans', 2]
[8456000655, 'KMeans', 2]
[8456000656, 'KMeans', 2]
[8456000657, 'KMeans', 2]
[8456000658, 'KMeans', 2]
[8456000659, 'KMeans', 2]
[8456000660, 'KMeans', 2]
[8456000661, 'KMeans', 2]
[8456000662, 'KMeans', 2]
[8456000663, 'KMeans', 2]
[8456000664, 'KMeans', 2]
[8456000665, 'KMeans', 2]
[8456000666, 'KMeans', 2]
[8456000667, 'KMeans', 2]
[8456000668, 'KMeans', 2]
[8456000669, 'KMeans', 2]
[8456000670, 'KMeans', 2]
[8456000671, 'KMeans', 2]
[8456000672, 'KMeans', 2]
[8456000673, 'KMeans', 2]
[8456000674, 'KMeans', 2]
[8456000675, 'KMeans', 2]
[8456000676, 'KMeans', 2]
[8456000677, 'KMeans', 2]
[8456000678, 'KMeans', 2]
[8456000679, 'KMeans', 2]
[8456000680, 'KMeans', 2]
[8456000681, 'KMeans', 2]
[8456000682, 'KMeans', 2]
[8456000683, 'KMeans', 2]
[8456000684, 'KMeans', 2]
[8456000685, 'KMeans', 2]
[8456000686, 'KMeans', 2]
[8456000687, 'KMeans', 2]
[8456000688, 'KMeans', 2]
[8456000689, 'KMeans', 2]
[8456000690, 'KMeans', 2]
[8456000691, 'KMeans', 2]
[8456000692, 'KMeans', 2]
[8456000693, 'KMeans', 2]
[8456000694, 'KMeans', 2]
[8456000695, 'KMeans', 2]
[8456000696, 'KMeans', 2]
[8456000697, 'KMeans', 2]
[8456000698, 'KMeans', 2]
[8456000699, 'KMeans', 2]
[8456000700, 'KMeans', 2]
[8456001017, 'KMeans', 2]
[8456001040, 'KMeans', 2]
[8456001250, 'KMeans', 2]
[8456001349, 'KMeans', 2]
[8456001350, 'KMeans', 2]
[8456001351, 'KMeans', 2]
[8456001352, 'KMeans', 2]
[8456001353, 'KMeans', 2]
[8456001354, 'KMeans', 2]
[8456001355, 'KMeans', 2]
[8456001356, 'KMeans', 2]
[8456001357, 'KMeans', 2]
[8456001358, 'KMeans', 2]
[8456001359, 'KMeans', 2]
[8456001360, 'KMeans', 2]
[8456001361, 'KMeans', 2]
[8456001362, 'KMeans', 2]
[8456001363, 'KMeans', 2]
[8456001364, 'KMeans', 2]
[8456001365, 'KMeans', 2]
[8456001366, 'KMeans', 2]
[8456001367, 'KMeans', 2]
[8456001368, 'KMeans', 2]
[8456001369, 'KMeans', 2]
[8456001370, 'KMeans', 2]
[8456001371, 'KMeans', 2]
[8456001372, 'KMeans', 2]
[8456001373, 'KMeans', 2]
[8456001374, 'KMeans', 2]
[8456001375, 'KMeans', 2]
[8456001376, 'KMeans', 2]
[8456001377, 'KMeans', 2]
[8456001378, 'KMeans', 2]
[8456001379, 'KMeans', 2]
[8456001380, 'KMeans', 2]
[8456001381, 'KMeans', 2]
[8456001382, 'KMeans', 2]
[8456001383, 'KMeans', 2]
[8456001384, 'KMeans', 2]
[8456001385, 'KMeans', 2]
[8456001386, 'KMeans', 2]
[8456001387, 'KMeans', 2]
[8456001388, 'KMeans', 2]
[8456001389, 'KMeans', 2]
[8456001390, 'KMeans', 2]
[8456001391, 'KMeans', 2]
[8456001392, 'KMeans', 2]
[8456001393, 'KMeans', 2]
[8456001394, 'KMeans', 2]
[8456001395, 'KMeans', 2]
[8456001396, 'KMeans', 2]
[8456001397, 'KMeans', 2]
[8456001398, 'KMeans', 2]
[8456001399, 'KMeans', 2]
[8456001400, 'KMeans', 2]
[8456001401, 'KMeans', 2]
[8456001402, 'KMeans', 2]
[8456001403, 'KMeans', 2]
[8456001404, 'KMeans', 2]
[8456001405, 'KMeans', 2]
[8456001406, 'KMeans', 2]
[8456001407, 'KMeans', 2]
[8456001408, 'KMeans', 2]
[8456001409, 'KMeans', 2]
[8456001410, 'KMeans', 2]
[8456001411, 'KMeans', 2]
[8456001412, 'KMeans', 2]
[8456001413, 'KMeans', 2]
[8456001414, 'KMeans', 2]
[8456001415, 'KMeans', 2]
[8456001416, 'KMeans', 2]
[8456001417, 'KMeans', 2]
[8456001418, 'KMeans', 2]
[8456001419, 'KMeans', 2]
[8456001420, 'KMeans', 2]
[8456001421, 'KMeans', 2]
[8456001422, 'KMeans', 2]
[8456001423, 'KMeans', 2]
[8456001424, 'KMeans', 2]
[8456001425, 'KMeans', 2]
[8456001426, 'KMeans', 2]
[8456001427, 'KMeans', 2]
[8456001428, 'KMeans', 2]
[8456001429, 'KMeans', 2]
[8456001430, 'KMeans', 2]
[8456001431, 'KMeans', 2]
[8456001432, 'KMeans', 2]
[8456001433, 'KMeans', 2]
[8456001434, 'KMeans', 2]
